id,название,цена,бренд,скидка,рейтинг,в наличии,id продавца,изображения,отзывы с текстом,рейтинг
155959416,Zip-худи,4203.0,4:20 Shop,19,5,126,1213098,https://basket-10.wb.ru/vol1559/part155959/155959416/images/big/1.jpg;https://basket-10.wb.ru/vol1559/part155959/155959416/images/big/2.jpg;https://basket-10.wb.ru/vol1559/part155959/155959416/images/big/3.jpg;https://basket-10.wb.ru/vol1559/part155959/155959416/images/big/4.jpg;https://basket-10.wb.ru/vol1559/part155959/155959416/images/big/5.jpg;https://basket-10.wb.ru/vol1559/part155959/155959416/images/big/6.jpg;,327,4.5
169534040,Футболка Fred Perry,2097.0,4:20 Shop,19,4,28,1213098,https://basket-12.wb.ru/vol1695/part169534/169534040/images/big/1.jpg;https://basket-12.wb.ru/vol1695/part169534/169534040/images/big/2.jpg;https://basket-12.wb.ru/vol1695/part169534/169534040/images/big/3.jpg;https://basket-12.wb.ru/vol1695/part169534/169534040/images/big/4.jpg;https://basket-12.wb.ru/vol1695/part169534/169534040/images/big/5.jpg;,0,
156286792,Zip-худи,4203.0,4:20 Shop,19,5,126,1213098,https://basket-10.wb.ru/vol1562/part156286/156286792/images/big/1.jpg;https://basket-10.wb.ru/vol1562/part156286/156286792/images/big/2.jpg;https://basket-10.wb.ru/vol1562/part156286/156286792/images/big/3.jpg;https://basket-10.wb.ru/vol1562/part156286/156286792/images/big/4.jpg;https://basket-10.wb.ru/vol1562/part156286/156286792/images/big/5.jpg;https://basket-10.wb.ru/vol1562/part156286/156286792/images/big/6.jpg;,327,4.5
197875514,Футболка,1854.0,4:20 Shop,19,5,28,1213098,https://basket-13.wb.ru/vol1978/part197875/197875514/images/big/1.jpg;https://basket-13.wb.ru/vol1978/part197875/197875514/images/big/2.jpg;https://basket-13.wb.ru/vol1978/part197875/197875514/images/big/3.jpg;https://basket-13.wb.ru/vol1978/part197875/197875514/images/big/4.jpg;https://basket-13.wb.ru/vol1978/part197875/197875514/images/big/5.jpg;https://basket-13.wb.ru/vol1978/part197875/197875514/images/big/6.jpg;,0,
169143536,Футболка Lyle & Scott,2016.0,4:20 Shop,19,4,18,1213098,https://basket-12.wb.ru/vol1691/part169143/169143536/images/big/1.jpg;https://basket-12.wb.ru/vol1691/part169143/169143536/images/big/2.jpg;https://basket-12.wb.ru/vol1691/part169143/169143536/images/big/3.jpg;https://basket-12.wb.ru/vol1691/part169143/169143536/images/big/4.jpg;https://basket-12.wb.ru/vol1691/part169143/169143536/images/big/5.jpg;,0,
166295138,Футболка,1935.0,4:20 Shop,19,5,28,1213098,https://basket-12.wb.ru/vol1662/part166295/166295138/images/big/1.jpg;https://basket-12.wb.ru/vol1662/part166295/166295138/images/big/2.jpg;https://basket-12.wb.ru/vol1662/part166295/166295138/images/big/3.jpg;https://basket-12.wb.ru/vol1662/part166295/166295138/images/big/4.jpg;https://basket-12.wb.ru/vol1662/part166295/166295138/images/big/5.jpg;,0,
198251435,Zip-худи,4203.0,4:20 Shop,19,5,126,1213098,https://basket-13.wb.ru/vol1982/part198251/198251435/images/big/1.jpg;https://basket-13.wb.ru/vol1982/part198251/198251435/images/big/2.jpg;https://basket-13.wb.ru/vol1982/part198251/198251435/images/big/3.jpg;https://basket-13.wb.ru/vol1982/part198251/198251435/images/big/4.jpg;https://basket-13.wb.ru/vol1982/part198251/198251435/images/big/5.jpg;,0,
198249774,Zip - худи,3636.0,4:20 Shop,19,5,120,1213098,https://basket-13.wb.ru/vol1982/part198249/198249774/images/big/1.jpg;https://basket-13.wb.ru/vol1982/part198249/198249774/images/big/2.jpg;https://basket-13.wb.ru/vol1982/part198249/198249774/images/big/3.jpg;https://basket-13.wb.ru/vol1982/part198249/198249774/images/big/4.jpg;https://basket-13.wb.ru/vol1982/part198249/198249774/images/big/5.jpg;https://basket-13.wb.ru/vol1982/part198249/198249774/images/big/6.jpg;https://basket-13.wb.ru/vol1982/part198249/198249774/images/big/7.jpg;https://basket-13.wb.ru/vol1982/part198249/198249774/images/big/8.jpg;,3,4.9
194861722,Джинсы,3879.0,4:20 Shop,19,4,270,1213098,https://basket-13.wb.ru/vol1948/part194861/194861722/images/big/1.jpg;https://basket-13.wb.ru/vol1948/part194861/194861722/images/big/2.jpg;https://basket-13.wb.ru/vol1948/part194861/194861722/images/big/3.jpg;https://basket-13.wb.ru/vol1948/part194861/194861722/images/big/4.jpg;https://basket-13.wb.ru/vol1948/part194861/194861722/images/big/5.jpg;https://basket-13.wb.ru/vol1948/part194861/194861722/images/big/6.jpg;,6,4.0
195996354,Zip - худи,4365.0,4:20 Shop,19,4,120,1213098,https://basket-13.wb.ru/vol1959/part195996/195996354/images/big/1.jpg;https://basket-13.wb.ru/vol1959/part195996/195996354/images/big/2.jpg;https://basket-13.wb.ru/vol1959/part195996/195996354/images/big/3.jpg;https://basket-13.wb.ru/vol1959/part195996/195996354/images/big/4.jpg;https://basket-13.wb.ru/vol1959/part195996/195996354/images/big/5.jpg;https://basket-13.wb.ru/vol1959/part195996/195996354/images/big/6.jpg;,3,4.0
